Reason,PHate,PostID,Comment,Site,Title,Content,Comments,GalleryID,PostURL,Source,Keyword
Comment Hate,0.8880458333102649,155133295,안에 사람들 다 중국가라 하고 땅만 먹어야지,,,,,,,,
Comment Hate,0.9159596128739499,155126886,그냥 국민연금 털려고 핑계대는거잖아 서학개미 인질잡고 서학개미들이 안팔아서 환율 못잡아서 국민연금좀 닦아쓰겠슴다,,,,,,,,
Content Hate,0.8760218005879642,155109637,,ARCALIVE,투자하고 싶어지는 대한민국기업의 주주총회를 알아보자,헤덕파워웨이 현대중공업 경남제약 YTN 삼성전자 역시나 삼성전자 박수소리의 데시벨로 찬반을 결정하는 국내최고 과학기술 보유기업의 모습이다 중국원양자원유한공사 버튜버가 등장하기 한참 이전에 버츄얼회장님이 계셨다 셀리버리(상장폐지) 웹젠 에이치엘비 셀트리온 주주총회후 주주들의 뒷풀이 회식장 여기까지만 알아보도록 하자 보면볼수록 국장에 투자하고 싶어지는걸?,"관악산 산신령 ㅇㄷ ||| ""누구나 아는건 호재가 아니다"" ||| 어디 개잡주기업도 아니고 이름만 들으면 멀쩡한 곳이 저러니 ||| 저 깡패새끼들 다 잡아넣어야 ||| 꼬우면 사지마 ㅂㅅ들아 ls ||| 박수 데시벨 ㅇㄱㅈㅉㅇㅇ? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ||| 대판2005다22701 ||| 정상인이면 국장 안삼",stock,https://arca.live/b/stock/155109637?target=all&keyword=%EC%82%BC%EC%84%B1&p=1,arca,삼성
Content Hate,0.8633009940761797,155082747,,ARCALIVE,"캐나다 산업부 장관 ""광물·전기차 분야서 한국 기업과 협력 확대할 것""","캐나다 60조원 잠수함 사업 추진…한국 컨소시엄 사업장 직접 방문 ""더 강력한 캐나다 기업, 국가 챔피언 만들고 싶어"" ""항공우주, 전기차 등의 제조업 투자 유치"" “향후 광물, 에너지, 배터리, 전기차 등의 분야에서 한국 기업들과 더 많은 프로젝트 기회를 찾으려고 합니다.” 멜라니 졸리 캐나다 산업부장관은 26일 주한캐나다 대사관에서 한국경제신문과 단독 인터뷰를 통해 “앞서 캐나다는 배터리, 니켈 광산 등에서 LG 에너지솔루션, 삼성 SDI 등의 투자를 유치했다”며 “이번 방문에선 현대차 등과 전기차 투자와 관련해 논의했다”고 밝혔다. 캐나다는 3000톤급 잠수함 12척을 도입하는 60조원 규모의 사업을 추진 중이다. 현재 독일 컨소시엄과 한국 컨소시엄(한화오션, HD 현대중공업)이 숏리스트로 선정돼 경쟁을 벌이고 있다. 졸리 장관은 이날까지 2박3일 일정으로 한국을 찾아 한화오션 거제 사업장 등을 찾았다. 다만 한국 컨소시엄의 경쟁력을 묻는 질문에 그는 말을 아꼈다. 그는 “공정한 절차가 중요하기 때문에 언급할 권한이 없다”면서도 “한국과 독일 모두 경쟁력 있고, 만족스럽다”고 밝혔다. 졸리 장관은 “캐나다에 얼마나 많은 일자리 창출이 가능한 지를 살펴보러 왔다”고 설명했다. 이번 수준전에서 군사적 역량은 물론 지정학적 동맹, 일자리 창출력 등을 두루 살펴보고 있다는 것이다. 그는 “캐나다 이익을 위해 올바른 결정을 내릴 수 있도록 하는 게 내 역할”이라며 “산업적 혜택을 평가하고, 내년 상반기께 정해질 예정”이라고 소개했다. 졸리 장관은 잠수함 사업 관계자들 뿐 아니라 현대차, 삼성 SDI 다양한 분야의 한국 기업 관계자들도 만났다. 그는 “캐나다는 중요한 광물, 에너지, 배터리, 항공우주 등과 관련된 모든 것을 투자할 수 있다”며 “더 강력한 캐나다 기업, 더 많은 국가 챔피언을 만들고 싶다”고 밝혔다. 캐나다는 항공우주나 자동차 같은 제조업 분야의 투자 유치에 힘쓰고 있다. 관련 펀드를 운영하고 있는데 향후 생산 보조금으로 활용할 수 있다고 소개했다. 그는 “캐나다가 오랫동안 한국으로부터 많은 것을 배울 수 있다고 본다”며 “대신 캐나다에선 매우 유리한 지리적 이점을 누릴 수 있다”고 말했다. 이어 배터리 분야에선 “캐나다는 중요한 광물에 대해 세계가 필요로 하는 모든 것을 갖추고 있다”며 “우리가 투자하는데 (미국보다는) 훨씬 더 안전한 곳이라고 생각한다”고 말했다. 그러면서 “아시아나 유럽 지역에서 더 많은 투자를 유치할 수 있을 것”이라고 기대했다. 졸리 장관은 “한국과 캐나다는 전기차 배터리와 중요 광물에서 상호 보완적인 강점을 가지고 있다”고 강조했다. 이어 “캐나다인들이 많은 전기차를 찾고 있고, 현대차를 좋아한다”면서 “캐나다 자동차 시장에서 투자 기회들이 많을 것”이라고 설명했다. 캐나다도 도널드 트럼프 미국 행정부와 갈등을 겪으면서 글로벌 무역 긴장에 위기 의식을 강하게 느끼면서 무역 다각화에 애쓰고 있다. 그는 “올초까지 외무장관이었고, 지금은 경제적으로 책임을 맡고 있는 산업장관으로서 ‘강한 캐나다, 더 강한 경제’를 만드는 게 목표”라고 강조했다. 캐나다는 이를 위한 인재 유치에도 적극적이다. 졸리 장관은 “17억달러의 예산을 들여 1000여 명의 연구 인력을 캐나다로 유치하기 위한 인재 전략을 펼치고 있다”고 자랑했다.",,stock,https://arca.live/b/stock/155082747?target=all&keyword=%EC%82%BC%EC%84%B1&p=1,arca,삼성
Content Hate,0.9053505362305313,155051980,,ARCALIVE,코스피에서 쓸 수 있는 스크립트,"그냥 ai 딸깍해서 옴 코스피 시장의 특성(글로벌 거시경제 민감도, 수출 중심, 원화 환율 영향 등)을 고려하여 기존 전략을 수정했습니다. 가장 큰 변화는 미국 S&P500의 밸류에이션(Shiller PE) 대신 **한국 시장 전체의 추세(KOSPI 지수)**를 거시적 필터(Macro Filter)로 사용하도록 변경한 것입니다. 한국 시장은 미국 밸류에이션보다 코스피 자체의 장기 추세 에 훨씬 더 민감하게 반응하기 때문입니다. 코스피 최적화 버전 (Pine Script v6) 이 스크립트는 **""코스피 지수(1개월 봉)가 상승 추세일 때만 개별 종목 매매를 허용""**하는 방식입니다. Pine Script //@version=6 strategy(""KOSPI Hybrid: Market Trend & Total Return"", overlay=false, initial_capital=10000000, default_qty_type=strategy.percent_of_equity, default_qty_value=100, currency=currency.KRW)  // ========================================== // 1. 설정 (Inputs) // ========================================== // 코스피 지수를 Macro Filter로 사용 (TVC:KOSPI 권장) marketTickerInput = input.string(""TVC:KOSPI"", ""Market Index Ticker (Macro)"", tooltip=""한국 시장 전체의 추세를 판단할 지수입니다. 보통 TVC:KOSPI를 사용합니다."") atrPeriod = input.int (10, ""ATR Period"") factor = input.float(3.0, ""SuperTrend Factor"")  // [시뮬레이션 조건 - 한국 실정 반영] // 배당수익률: 코스피 평균 약 1.5~2.5% dividendYield = input.float(2.0, ""Div Yield (%)"") / 100 // 현금 이자율: CMA/파킹통장 금리 약 3.0~3.5% cashInterest  = input.float(3.5, ""Cash Interest (%)"") / 100 startYear     = input.int (2000, ""Start Year"")  // ========================================== // 2. 데이터 계산 // ========================================== // 슈퍼트렌드 방향 계산 함수 (1: 상승, -1: 하락) get_st_direction(f, p) =>     [_, dir] = ta.supertrend(f, p)     dir  // [Macro Filter] 코스피 월봉 트렌드 (가장 큰 흐름) // 코스피 월봉이 하락세면 개별 종목이 좋아도 보수적으로 접근 marketDir = request.security (marketTickerInput, ""1M"", get_st_direction(factor, atrPeriod), lookahead=barmerge.lookahead_on, ignore_invalid_symbol=true) isMarketBullish = nz(marketDir, -1) < 0   // [Weekly Filter] 개별 종목 주봉 트렌드 weeklyDir = request.security (syminfo.tickerid, ""1W"", get_st_direction(factor, atrPeriod), ignore_invalid_symbol=true) isWeeklyBullish = nz(weeklyDir, -1) < 0   // [Daily Filter] 200일 이동평균선 (장기 추세선) sma200 = ta.sma(close, 200) isSmaBullish = not na(sma200) ? close > sma200 : true   // 예외 매수 조건: 시장(코스피)은 하락세지만, 개별 종목의 주봉과 200일선이 모두 살아있다면 '중립(보유)' 허용 isExceptionOk = isWeeklyBullish and isSmaBullish  // ========================================== // 3. 상태 머신 & 알림 로직 // ========================================== var int STATE_SELL = 0    // 전량 현금 (이자 수익) var int STATE_BUY = 1     // 매수 (주식 보유) var int STATE_NEUTRAL = 2 // 중립 (기존 보유분 유지, 신규 매수 금지 or 조심)  var int currentState = STATE_BUY  var bool waitForReset = false  int prevState = currentState  // --- 로직 실행 --- // 1. 코스피 월봉이 상승 추세면 -> 적극 매수(BUY) if isMarketBullish     currentState := STATE_BUY     waitForReset := false else     // 2. 코스피가 하락 추세로 전환됨     if currentState == STATE_BUY         currentState := STATE_SELL // 기본은 매도         // 단, 개별 종목이 강력하면(Exception) 바로 팔지 않고 기회를 봄         if isExceptionOk             waitForReset := true         else             waitForReset := false          // 3. 이미 매도 상태임     else if currentState == STATE_SELL         if waitForReset             // 예외 조건이 깨지면 -> 진짜 매도 확정             if not isExceptionOk                 waitForReset := false         else             // 매도 상태인데 개별 종목이 너무 좋으면 -> 중립(정찰병)             if isExceptionOk                 currentState := STATE_NEUTRAL          // 4. 중립 상태     else if currentState == STATE_NEUTRAL         // 개별 종목마저 안 좋아지면 -> 매도         if not isExceptionOk             currentState := STATE_SELL             waitForReset := false  // --- 알림 트리거 --- isBuySignal = (prevState == STATE_SELL) and (currentState != STATE_SELL) isSellSignal = (prevState != STATE_SELL) and (currentState == STATE_SELL)  if isBuySignal     alert(""KOSPI Strategy: BUY Signal (진입)"", alert.freq_once_per_bar_close)      if isSellSignal     alert(""KOSPI Strategy: SELL Signal (전량매도/현금화)"", alert.freq_once_per_bar_close)  prevState := currentState  // ========================================== // 4. 자산 시뮬레이션 (Total Return) // ========================================== // 초기 자본금 (원화) var float stratEquity = 10000000.0 var float benchEquity = 10000000.0 var bool isStarted = false  if (year >= startYear or bar_index == 0) and not isStarted     stratEquity := 10000000.0     benchEquity := 10000000.0     isStarted := true  dailyDiv = dividendYield / 365 dailyInt = cashInterest / 365 priceRet = (close - close[1]) / close[1]  if isStarted     // 벤치마크 (단순 보유)     benchEquity := benchEquity * (1 + priceRet + dailyDiv)      // 전략 적용     if currentState == STATE_BUY or currentState == STATE_NEUTRAL         // 주식 보유 중 (배당 수익 포함)         stratEquity := stratEquity * (1 + priceRet + dailyDiv)         strategy.entry(""Long"", strategy.long, comment=""BUY"")     else         // 현금 보유 중 (CMA 이자 수익 포함)         stratEquity := stratEquity * (1 + dailyInt)         strategy.close(""Long"", comment=""SELL"")  // ========================================== // 5. 시각화 // ========================================== // 배경색: 초록(상승장) / 노랑(개별종목만 좋음) / 빨강(하락장) bgCol = currentState == STATE_BUY ? color.new (color.lime, 80) : currentState == STATE_NEUTRAL ? color.new (color.yellow, 80) : color.new ( color.red , 80) bgcolor(bgCol, title=""Market Regime"")  // 수익률 곡선 plot(isStarted ? stratEquity : na, ""Strategy Equity (KRW)"", color=color.blue, linewidth=2) plot(isStarted ? benchEquity : na, ""Buy & Hold (KRW)"", color=color.gray, linewidth=1)  // 원금 기준선 hline(10000000, ""Initial Capital"", color=color.black, linestyle=hline.style_dotted) 주요 변경 사항 및 사용 가이드 Macro Filter 변경 (S&P500 Shiller PE → KOSPI 월봉) 이유: 코스피 개별 종목(삼성전자, 현대차 등)은 미국 밸류에이션보다 한국 시장 전체의 분위기 에 더 큰 영향을 받습니다. 로직: TVC:KOSPI의 월봉(1 Month) 슈퍼트렌드를 사용하여 대세 상승장인지 하락장인지 판단합니다. 효과: 코스피 지수가 월 단위로 하락 추세일 때는 현금을 보유하여, 한국 시장 특유의 깊은 하락장을 피합니다. 화폐 및 자산 단위 (KRW) initial_capital을 10,000,000원(천만 원)으로 설정했습니다. currency=currency.KRW를 추가하여 백테스트 결과가 원화로 표시되도록 했습니다. 이자율 및 배당률 현실화 Dividend Yield (2.0%): 코스피의 역사적 배당수익률 수준으로 조정했습니다. Cash Interest (3.5%): 한국의 파킹통장이나 CMA 금리를 반영하여, 주식을 팔고 현금 보유 시 얻는 수익을 현실적으로 시뮬레이션합니다. 사용 방법 종목: 삼성전자(005930), KODEX 200(069500) 등 코스피 대형주나 지수 ETF 차트에서 실행하세요. 설정: 톱니바퀴(설정)를 눌러 Market Index Ticker가 TVC:KOSPI로 되어 있는지 확인하세요. 만약 코스닥 종목을 매매한다면 TVC:KOSDAQ으로 변경할 수도 있습니다. 전략의 핵심 흐름 초록색 배경: 코스피 전체가 상승장입니다. 마음 편히 매수 보유합니다. 빨간색 배경: 코스피가 하락장입니다. 주식을 전량 매도하고 현금(이자 수익)을 보유합니다. 노란색 배경: 코스피는 하락장이지만, 현재 보고 있는 개별 종목이 강력한 상승 추세(주봉 상승 + 200일선 위)를 유지하고 있어 예외적으로 보유하는 구간입니다.",,stock,https://arca.live/b/stock/155051980?target=all&keyword=%EC%82%BC%EC%84%B1&p=1,arca,삼성
Content Hate,0.9376384288594759,155032012,,ARCALIVE,헤지펀드들 기준 진짜 미쳤네,"1. 자산운용사 (BlackRock, Vanguard 등) 전략 자유도: 매우 낮음 블랙록, 뱅가드는 거의 ETF/지수형 패시브 펀드 위주라서 레버리지 제한 많음 단기 매매 거의 없음 파생상품 사용 제한 변동성 관리 엄격 벤치마크 추적 오차 최소화가 목표 즉, 도박·투기·고위험 전략은 절대 금지 . 수익률 목표: 낮음 1년 6~10% 근처면 정상 지수 벤치마크 + 알파 몇 bp(0.1% 단위) 정도면 성공 위험 대비 안정성 최우선 레버리지: 제한적 거의 없음 있어도 1.2~1.3배 정도 규제 매우 강함 트레이더 자유도: 거의 0 지수 추적이 목적이라서 “투자 판단” 자체가 거의 없음. 트레이더는 주문 집행만 함. 2. IB(Investment Bank) 프랍 트레이더 (골드만, JP모건, 모건스탠리, 한국: 삼성증권 등) 전략 자유도: 중간~높음 IB 프랍 트레이더는 자기자본으로 수익을 내는 조직 이라 자유도가 더 높지만: VaR 한도 있음 내부 리스크 승인 필요 데일리 손실 제한 존재 일부 국가에서 프랍 금지(Volcker Rule) 규제는 있지만 개인이 상상하는 것보단 훨씬 공격적일 수 있음. 수익률 목표: 중간 연 10~20%면 매우 우수 시장상황 좋으면 30~40%도 가능 하지만 위험 기준을 엄청 따짐 레버리지: 중간 상품별로 5~20배까지 가능 파생, 구조화상품 사용 가능 은행자본이라 규제 하에 있음 트레이더 자유도: 있지만 제한적 리스크 관리팀이 매우 강하게 통제함. “하고 싶은 것 다 하는 구조”는 절대 아님. 3. 헤지펀드 (Citadel, Millennium, DE Shaw 등) 여기가 자유도·레버리지·수익률 모두 최정점 . 전략 자유도: 극단적 Citadel 같은 멀티매니저 헤지펀드는 트레이더별로 독자적인 전략·레버리지·포트폴리오 운용 을 허용함. 롱숏 매크로 이벤트드리븐 고빈도(HFT) 옵션 볼매수/매도 레버리지 20~50배 가능 파생·옵션은 기본 무기 사실상 시장 안에서 가장 자유도가 높은 플레이어 . 수익률 목표: 매우 높음 시타델의 Net Return 기준: 평년 20~35% 좋은 해에는 40~60% 최상위 PM은 연봉이 “수백억~수천억” 단위 레버리지: 업계 최강 10~50배 고빈도 전략은 더 높을 수도 있음 파생·옵션으로 변형하면 실질 레버리지는 더 높아짐 리스크 관리 방식: 매우 가혹 자유도가 큰 대신: 하루 손실 -5% → 계좌 컷 한 주 손실 기준 초과 → 포지션 절반 강제 청산 전략 적합성 부족하면 바로 해고 “성과 지상주의 + 즉시 정리” 구조라 커리어 안정성은 최악, 보상은 최고. 계좌 하루 주석 맞으면 계좌 컷 씹ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",여름부터 탑티어 중소규모 자유도 높은쪽으로 많이 이동하더란 뉴스 있더라구 ||| 그래서 블랙록이 비트코인 처분했대!! 이러는거 볼떄마다 혈압오름. ishares 에서 매각하는거라 블랙록 의사랑 아무상관없는데 ||| 매도세가 많으니 AP가 돈을 빼고 그러니 자산을 처분 할 뿐 쟤네는 의사 결정 능력 없음ㅋㅋ ||| 그걸 이제 코인하는애들은 블랙록 매도를 보고 퍼나르면서 호들갑떰. 근데 그럴때마다 진짜 믿더라 ||| 근데 블랙록이 한번 통수를 거하게 친적 있긴 있던게 래리핑크 놈이 비트코인은 쓰레기에요 라고 하면서 뒤로는 비트코인 ETF 준비 하면서 비트코인 매수 함ㅋㅋㅋㅋ ||| ceo는 정치적으로도 말도 많긴하더라 고객들 돈으로 환경이었나 그쪽에 투자한다고 ||| 하도 욕먹고 수익률 박아서 ESG평가 기준에서 E를 빼버렸지 ㅋㅋ,stock,https://arca.live/b/stock/155032012?target=all&keyword=%EC%82%BC%EC%84%B1&p=1,arca,삼성
Content Hate,0.8939041156549494,154987769,,ARCALIVE,장전뉴스,"세계 주요 경제 및 기업 동향 [미국 시장 및 기업 동향] 1. OpenAI, 2030년까지 챗봇 구독 수익 2,700억 달러 예상하며 엔터프라이즈 계약 추진 2. Meta, Nvidia 의존도 줄이려 Google의 AI 칩(TPUs) 사용을 논의 중 (수십억 달러 규모 예상) 3. Dell, AI 데이터 센터 투자 덕분에 4분기 매출 및 이익 전망치를 상향하며 주가 4% 상승 4. Apple, 강력한 iPhone 17 수요로 2025년 삼성(Samsung)을 제치고 세계 최대 스마트폰 제조업체 등극 예상 5. US 정부, Medicare 환자 대상 Novo Nordisk 체중 감량 약물에 71%의 높은 할인율을 협상함 [아시아 시장 및 기업 동향] 1. TSMC, AI 칩 수요 폭증에 맞춰 신규 팹 및 패키징 공장 계약을 2년 앞당겨 체결, 내년 시설 투자(capex) 500억 달러 이상 예상 2. Nio Inc. 주가, 4분기 실망스러운 전망으로 경쟁 심화 속 손익분기점 달성 우려에 급락 3. Li Auto Inc. 주식 공매도 베팅, 3분기 실적 발표를 앞두고 사상 최고치 기록 (매출 상장 후 최대 감소 예상) 4. SoftBank Group Corp., US 칩 스타트업 Ampere Computing LLC를 65억 달러에 인수 완료하며 AI 하드웨어 자산 확보 [유럽 시장 및 기업 동향] 1. Volkswagen, 광범위한 비용 절감 계획에도 불구하고 독일 현장에서 자발적으로 퇴사하는 근로자 수가 급격히 둔화되는 어려움 2. 네덜란드 은행 ABN Amro, 향후 3년 수익성 향상을 위해 수천 개 일자리 감축 및 개인 대출 자회사 매각 계획 발표 요약: OpenAI의 높은 수익 전망과 Meta의 Google AI 칩 사용 논의가 미국 기술 시장의 주요 이슈로 부상했으며, Dell은 AI 수요 덕분에 긍정적인 전망을 내놓았고, TSMC는 AI 칩 수요 폭증에 맞춰 투자 계획을 확대하는 가운데 Nio와 Li Auto 등 중국 전기차 업체들의 실적 부진 우려가 심화됨. 다른 뉴스 원문을 입력해 주시면, 가독성이 높은 헤드라인식 요약을 제공해 드릴까요?",,stock,https://arca.live/b/stock/154987769?target=all&keyword=%EC%82%BC%EC%84%B1&p=1,arca,삼성
Content Hate,0.868305608248586,154968893,,ARCALIVE,다른기사도 다 가관이노 ㅋㅋ,메타 구글 삼성은 조용한데 지들끼리 북치고장구치고 ㅋㅋ,니들은 월가십새들 커넥션도 아닌데 왜....... ||| 해외 소식은 역시 국내 언론으로 보는 게 아니구나 ||| 저거 시작한 양놈언론도 똑같은 족속들이라서 진짜 테크뉴스만본다 ||| 언론 십샛기 ||| 신났구만 ㅋㅋ,stock,https://arca.live/b/stock/154968893?target=all&keyword=%EC%82%BC%EC%84%B1&p=1,arca,삼성
Comment Hate,0.917487281722545,154960345,핑계고 그걸로 세수 확보가 목적ㅇㅇ,,,,,,,,
Comment Hate,0.9262436432047337,154960345,작년에 개거품 물던 ㅅㄲ들이 올해는 역대급 예산 짜버림.,,,,,,,,
