Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword,Comment
Content Hate,0.8658600301116074,ARCALIVE,155196865,미안하다 반디야,암만 생각해도 달리아 뽑을 여유는 없을거 같다 4.0 존버도 해야 하니까 달리아는 거르자,,붕괴 스타레일,https://arca.live/b/breaking/155196865?target=all&keyword=%EB%B0%98%EB%94%94&p=1,arca,반디,
Content Hate,0.8599922501194286,ARCALIVE,155191627,샤오지 없인 안 된다고,"나부의 총괄이엇던 것도 반디 서사를 말아먹은 것도 페이트 콜라보를 쌀먹한 것도 엠포를 반으로 찢어버린 것도 전부 샤오지 덕이었어 그렇지, 류웨이??",,붕괴 스타레일,https://arca.live/b/breaking/155191627?target=all&keyword=%EB%B0%98%EB%94%94&p=1,arca,반디,
Title Hate,0.9297563340623792,ARCALIVE,155191489,나 붕스 나부때 접었는데,반디는 누군지 안다,응디는 잘아는데 ||| 파괴자인건 똑같네 ||| 개조띠,붕괴 스타레일,https://arca.live/b/breaking/155191489?target=all&keyword=%EB%B0%98%EB%94%94&p=1,arca,반디,
Content Hate,0.9538712484214844,ARCALIVE,155190761,다이아린 그정도로 좋음??,전 버전에 무리해서 뾲이 뽑앗는데... ㅂㅅ짓 한거임??,다이아린 성능은 복복이도 인정한대.. ||| 다이아린 45렙인데 어제 프리스트 2별받음 ||| 복복이 따잇 당함 ||| 하 얼탱 ||| 굳이 둘중에라고 하면 다이아린인듯 성능도 범용성도 장난 아님 근데 어차피 둘 다 쓰니까 ||| 돈없 ㅠ,붕괴 스타레일,https://arca.live/b/breaking/155190761?target=all&keyword=%EB%B0%98%EB%94%94&p=1,arca,반디,
Comment Hate,0.907691432887846,,155189056,,,,,,,,3/8 미코건 용투졸업 내염제 스증16/20인데 200억이안댐 허리3퍼인데도 엘리브발라서 스증18퍼되야 딱 200억넘기더라
Comment Hate,0.8933805204114648,,155189056,,,,,,,,그건그럼 ㅇㅇ
Title Hate,0.9049604877508765,ARCALIVE,155186911,Ai 반디 코스프레,구글 ai 성능..,와신기하다 ||| 않이 이게 된다고???,붕괴 스타레일,https://arca.live/b/breaking/155186911?target=all&keyword=%EB%B0%98%EB%94%94&p=1,arca,반디,
Content Hate,0.8587761944549861,ARCALIVE,155185992,친한계 유튜브 근황,이준석은 왜끼어넣음 애미뒤진새끼들?,ATM 되고싶다네요 수구 ||| 어그로 ㅈ되네,붕괴 스타레일,https://arca.live/b/breaking/155185992?target=all&keyword=%EB%B0%98%EB%94%94&p=1,arca,반디,
Comment Hate,0.939516237988055,,5195240,,,,,,,,비소는 메인캐리면서 존나약했는데 성장폭을 올려주긴했네
Comment Hate,0.8536734378567019,,1489456,,,,,,,,그 카메라 연애겜에 꽹.. 하러 가서 안나오나봄
Content Hate,0.9027347904879974,DCINSIDE,5195056,척자야반디가 계속 책을 불태우길래,아예 책을 얼려버렸어 나 잘했지,,붕괴 스타레일,https://gall.dcinside.com/mgallery/board/view/?id=staraiload&no=5195056,dc,반디,
Comment Hate,0.8609171466526238,,5195042,,,,,,,,세줄요약좀
