Reason,PHate,PostID,Comment,Site,Title,Content,Comments,GalleryID,PostURL,Source,Keyword
Comment Hate,0.8503892744986911,154583269,브라타 정수기 쓰셈,,,,,,,,
Content Hate,0.9048890359990112,154211779,,ARCALIVE,아침부터 재수 없네,"스탠리 텀블러 빨대 두고 오고 지각도 하고 왜 양치 안 하냐, 왜 깅치 골라 먹냐 개지랄 잔소리 쳐듣고 애미시발 단축 안 해서 좆같이 시끄러운곳에 쳐박힌것도 짜증나는데 어제부터 이러더니 운 진짜 ㅈ도 없다 개시발 욕이 한번도 안 나온적이 없어",,감정 표출,https://arca.live/b/breaking/154211779?target=all&keyword=%EC%8A%A4%ED%83%A0%EB%A6%AC+%ED%85%80%EB%B8%94%EB%9F%AC&p=1,arca,스탠리 텀블러
Title Hate,0.9030537325436728,153154536,,ARCALIVE,오 님들ㅋㅋ 머리카락 하나 뽑았는데 팔뚝만 함ㅋㅋ,작가님이 자주 말하는 스탠리 텀블러보다 살짝 작은 정도일듯,순간 굵기로 착각해서 머머머멋 하고 들어왔는데 아 그치 길이일 수도 있지ㅋㅋ ||| 어휴 ㅋㅋ ||| 밑에 댓글 봐봐 나만 그렇게 본거 아닐거야 아마그럴거임 아무튼 ||| 허 ||| 엣헴 ||| 엥?? ||| 뭣 ||| 아니 왜 ||| 난 또 굵기 얘긴 줄 ||| 머리카락이 어케 그럼... ||| 왜 놀라지? ||| 깜짝아 ||| ?? ||| 굵기로 보고 ||| 순간 굵기로 듣고 짱놀랬다에요... 확실히 길이면 그럴 수 이따에요...!ㅋㅋㅋㅋㅋㅋㅋㅋ ||| 왜 굵기 아님,Lounge,https://arca.live/b/breaking/153154536?target=all&keyword=%EC%8A%A4%ED%83%A0%EB%A6%AC+%ED%85%80%EB%B8%94%EB%9F%AC&p=1,arca,스탠리 텀블러
Content Hate,0.886153833269926,152132315,,ARCALIVE,"스탠리 퀜처 H2.0 플로우스테이트 텀블러, 887ml (33,300원/무료)",밑에꺼 용량작은애들은 이거 사,"나도 와우회원인데 왜 쿠폰이옶지 ||| 다나간듯? ||| 이거 플라밍고 만 이네 ||| 플라밍고말고 몇몇 컬러 더 3.3인데 플라밍고가 제일 예쁜듯ㅇㅇ 역시 남자는 핑크ㅋ ||| 남자는 쌉핑꾸지 ||| 색고르다가 할인다빠졌어,,, ||| 쿠폭없는디? ||| 할인 다빠진듯 ||| 저런 색 이뻐서 살랫더만 ||| 그럼 일찍봤어야짓 ㅎㅎㅎㅎㅎㅎ ||| 일 끝나고 집가는 시간이라 GG ||| 저번에 3.9에 올라온거랑 색상말고 다른차이 있워? ||| 없을걸? 난 스탠리에 대해서 잘몰랏 ||| 이쁘다 남자의 색 핑크 ||| 개이쁘덩 ㅎㅎ ||| 벌써 끝이네.. ||| 훗훗훗훗 ||| 도로롱 색깔 ||| 이거 뚜껑만 팔아달라고 ||| 아 뚜껑만 파냐고오 ㅋㅋㅋㅋ ||| 플로우스테이트 아닌건 공홈에 뚜껑 따로 팜 소모품 취급이라 ||| 바쁠시간에 했네 ||| 저번에 39에 삿는데 더싸졋네 ㅠㅠ ||| 끄아악 어두운색 세일원해 ||| 도-황 ||| 작다 리터급은 써줘야죠...ㅋㅋㅋㅋ 내꺼는 유행전에 사서 지금도 쓰는중 겁나싸게샀었는데 ㅋㅋ ||| 1.1리터짜리좀 다시 핫딜해다오.. ||| 예전에 너무 싸게 사서 그런가 요즘 가격보면 넘 비싸게 느껴짐. 잃어버려서 다시 사야하는데 타이밍이 안맞네. ㅎㅎ ||| 저번에 3.9는 뚜껑이 밀폐형이고 이건 밀폐아님",핫딜,https://arca.live/b/breaking/152132315?target=all&keyword=%EC%8A%A4%ED%83%A0%EB%A6%AC+%ED%85%80%EB%B8%94%EB%9F%AC&p=1,arca,스탠리 텀블러
Comment Hate,0.8803954180397872,151460958,카카오도 취소남 수영복 구매했었는데 환불당하더라,,,,,,,,
Comment Hate,0.8641546612323093,151460958,1.18 안하나 할인,,,,,,,,
Comment Hate,0.8762902614191233,151460958,1.18 사고 싶어지네,,,,,,,,
Comment Hate,0.8585294602877457,151460958,뚜껑 빨대 일체형이라 입대고 먹는건 불가능한 구조 같음,,,,,,,,
Comment Hate,0.8643290384758149,151460958,887 1.18 두개 쓰는데 887만 쓰는듯  1.18은 너무 커서 차 컵홀더에도 안들어가,,,,,,,,
Content Hate,0.9090969580432684,1930810,,DCINSIDE,광주 게이들스탠리텀블러아직 남아있더라,하남가라 게이들아,퇴근후 간다이  - dc App ||| 내일가도 남아있음; - dc App ||| 아 소문나면 안된다 담주에 갈라했는데  - dc App ||| 개많아서 걱정 ㄴ - dc App ||| @ㅇㅇ 아 2년된 재고인대 아직도 개많음?? 출발전에 메뉴에 있나보고 가야겠다  - dc App ||| 왜 다음주에 감? 내일 가셈 - dc App ||| @ㅇㅇ 친구만나러 가는겸 수거거는거라...  - dc App ||| 그거 한참 전부터 남아있던거라 그렇게 걱정 안해도 될껄 ||| 오 그럼 내일 가볼까  - dc App,오리지널 티켓,https://gall.dcinside.com/mgallery/board/view/?id=oticket&no=1930810,dc,스탠리 텀블러
Comment Hate,0.8524157358526007,1930016,지금 세척했는데 그냥 ㅈㄴ 만족스러움 ㄹㅇ,,,,,,,,
Comment Hate,0.943387480724077,1928174,재고 오래된건데도 상태 멀쩡하더라,,,,,,,,
Comment Hate,0.8649062331153632,1926970,하남 근처니깐 내일 출근할때 가봐야겠네   시설은 괜찮은데 그냥 안들어온다드라 ㅋㅋ 임영웅때 여기도 줘서 받을때 여기도 주네요하니깐 이런 전국적으로 주는건 들어오는데 그게 아니면 거의 안들어 온다 생각하라고 말해주드라,,,,,,,,
Comment Hate,0.8717184148658598,4761579,유니폼이랑 스탠리랑 느무느무느무 잘 어울려 종신계약해 - dc App,,,,,,,,
Comment Hate,0.8895217790205835,4761579,최악평점에 금쪽이 부적응자짓존나해서 얼굴에 공처맞고 셔틀진전하다가 고딩배터리되서 팀에서 왕따당하는 이강인 잉ㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,
Comment Hate,0.8925050988297064,4761579,앰창단이 가면쓰고 밥괴인척 하는거냐 아니면 진짜 밥괴인거냐 이제는 구분이 안 간다 ㅋㅋ,,,,,,,,
Comment Hate,0.8895217790205835,4761579,최악평점에 금쪽이 부적응자짓존나해서 얼굴에 공처맞고 셔틀진전하다가 고딩배터리되서 팀에서 왕따당하는 이강인 잉ㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,
Comment Hate,0.929607743808486,4761579,엠줌마 우린 안해준다고 엠들엠들ㄷㄷ 아줌마 아니랄까봐ㅋㅋㅋ,,,,,,,,
Comment Hate,0.8835831742667652,4761579,밥줌 이 미친새끼들,,,,,,,,
Comment Hate,0.8857015465288866,4761579,아니 씨발 정보는 고마운데 ㅋㅋㅋㅋ 개씨발 쓸데없는 멘트들 존나 역겹네 씨발새끼가,,,,,,,,
